"","sample","date.sampled","date.measured","absorbance.1","absorbance.2","species","temp","rep","notes"
"335","2-10-3","2017-04-25","2017-06-29",0.029,0.027,2,10,3,"0.5ml"
"336","3-10-3","2017-04-28","2017-06-29",0.024,0.023,3,10,3,""
"337","4-10-3","2017-04-28","2017-06-29",0.036,0.033,4,10,3,""
"338","1-17-3","2017-04-25","2017-06-29",0.017,0.018,1,17,3,""
"339","2-17-3","2017-04-25","2017-06-29",0.014,0.012,2,17,3,""
"340","3-17-3","2017-04-28","2017-06-29",0.021,0.021,3,17,3,""
"341","4-17-3","2017-04-28","2017-06-29",0.024,0.019,4,17,3,""
"342","1-24-3","2017-04-25","2017-06-29",0.015,0.015,1,24,3,""
"343","2-24-3","2017-04-25","2017-06-29",0.015,0.017,2,24,3,""
"344","3-24-3","2017-04-28","2017-06-29",0.012,0.013,3,24,3,"0.5ml"
"345","4-24-3","2017-04-28","2017-06-29",0.03,0.026,4,24,3,""
"346","1-31-3","2017-04-25","2017-06-29",0.048,0.047,1,31,3,""
"347","2-31-3","2017-04-25","2017-06-29",0.028,0.028,2,31,3,""
"348","3-31-3","2017-04-28","2017-06-29",0.039,0.039,3,31,3,""
"349","4-31-3","2017-04-28","2017-06-29",0.023,0.022,4,31,3,""
